DISTANCE_IN_METERS,DURATION_IN_SEC,NDT_IN_KMH,ORGANISATION,POINT_1_CITY,POINT_1_COUNTRY,POINT_1_LAT,POINT_1_LNG,POINT_1_NAME,POINT_1_POSTAL_CODE,POINT_1_STREET,POINT_1_STREET_NUMBER,POINT_2_CITY,POINT_2_COUNTRY,POINT_2_LAT,POINT_2_LNG,POINT_2_NAME,POINT_2_POSTAL_CODE,POINT_2_STREET,POINT_2_STREET_NUMBER,RBA_ID,REPORT_ID,REPORT_NAME,ROAD_TYPE,_id
765,42,66,COWI,Højbjerg,Denmark,56.10986429894997,10.162728804893504,4557,8270,Ringvej Syd,,Højbjerg,Denmark,56.110288211786354,10.153642402446735,4550,8270,Christian X's Vej,,229553,203636,AAR_BT_0464 4557 4550,MAJOR_ROAD,385
1530,88,63,COWI,Højbjerg,Denmark,56.10986429894997,10.162728804893504,4557,8270,Ringvej Syd,,Højbjerg,Denmark,56.12004117576438,10.167441665012348,4563,8270,Christian X's Vej,169,229555,203663,AAR_BT_0465 4557 4563,MAJOR_ROAD,386
470,34,50,COWI,,Denmark,56.144719132186395,10.20872971106246,3190,,,,,Denmark,56.14892750591274,10.209599775463175,4552,,,,180143,179009,AAR_BT_0113 3190 4552,MAJOR_ROAD,47
530,27,71,COWI,,Denmark,56.18461478101305,10.195804343585905,3155,,,,,Denmark,56.181459995226994,10.192792014715224,2659,,,,186233,185104,AAR_BT_0197 3155 2659,MAJOR_ROAD,131
585,35,60,COWI,,Denmark,56.171122550932225,10.201447428241636,3191,,,,,Denmark,56.16813760017301,10.20690854480938,4331,,,,189720,187748,AAR_BT_0240 3191 4331,MAJOR_ROAD,174
700,46,55,COWI,,Denmark,56.159418709313904,10.187763760747885,3156,,,,,Denmark,56.16389697427008,10.18616224669654,3193,,,,189738,187986,AAR_BT_0249 3156 3193,MAJOR_ROAD,183
2250,132,61,COWI,Risskov,Denmark,56.210237386910975,10.21333293005955,4358,8240,Sindalsvej,40,Risskov,Denmark,56.20913963031665,10.246642527612721,4354,8240,Viengevej,,229074,192520,AAR_BT_0303 4358 4354,MAJOR_ROAD,236
1210,62,70,COWI,Aarhus,Denmark,56.18958131478287,10.191119927578029,4361,8200,Randersvej,210,Aarhus,Denmark,56.19922307868954,10.182444749668093,4362,8200,Randersvej,,229080,192600,AAR_BT_0314 4361 4362,MAJOR_ROAD,239
945,57,60,COWI,Højbjerg,Denmark,56.12004117576438,10.167441665012348,4563,8270,Christian X's Vej,169,Aarhus,Denmark,56.12437832738177,10.180056017196648,4553,8260,Jyllands Alle,158,229471,198167,AAR_BT_0423 4563 4553,MAJOR_ROAD,344
1555,89,63,COWI,Højbjerg,Denmark,56.12004117576438,10.167441665012348,4563,8270,Christian X's Vej,169,Højbjerg,Denmark,56.10986429894997,10.162728804893504,4557,8270,Ringvej Syd,,229557,203689,AAR_BT_0466 4563 4557,MAJOR_ROAD,387
360,22,59,COWI,Aarhus,Denmark,56.14063267124548,10.1989185595246,3989,8000,Marselis Boulevard,50,Aarhus,Denmark,56.14171141881423,10.204415905418273,4367,8000,Marselis Boulevard,,180145,179038,AAR_BT_0114 3989 4367,MAJOR_ROAD,48
875,45,70,COWI,,Denmark,56.17312782176926,10.161757688325906,2656,,,,,Denmark,56.16798814878688,10.151387677246134,2655,,,,180173,179418,AAR_BT_0128 2656 2655,MAJOR_ROAD,62
530,32,60,COWI,,Denmark,56.181353258286634,10.192906008598356,2659,,,,,Denmark,56.18028339302693,10.198778699405693,3154,,,,186235,185131,AAR_BT_0198 2659 3154,MAJOR_ROAD,132
1380,83,60,COWI,Højbjerg,Denmark,56.1102508220387,10.153714822090137,4550,8270,Christian X's Vej,,Højbjerg,Denmark,56.12004117576438,10.167441665012348,4563,8270,Christian X's Vej,169,229463,198059,AAR_BT_0419 4550 4563,MAJOR_ROAD,340
1380,83,60,COWI,Højbjerg,Denmark,56.12004117576438,10.167441665012348,4563,8270,Christian X's Vej,169,Højbjerg,Denmark,56.110288211786354,10.153642402446735,4550,8270,Christian X's Vej,,229465,198085,AAR_BT_0420 4563 4550,MAJOR_ROAD,341
1490,89,60,COWI,Højbjerg,Denmark,56.12004117576438,10.167441665012348,4563,8270,Christian X's Vej,169,Aarhus,Denmark,56.13241046310714,10.174677478504236,4566,8260,Christian X's Vej,35,229467,198113,AAR_BT_0421 4563 4566,MAJOR_ROAD,342
1470,88,60,COWI,Aarhus,Denmark,56.13241046310714,10.174677478504236,4566,8260,Christian X's Vej,35,Højbjerg,Denmark,56.12004117576438,10.167441665012348,4563,8270,Christian X's Vej,169,229469,198139,AAR_BT_0422 4566 4563,MAJOR_ROAD,343
565,34,60,COWI,,Denmark,56.1803125039424,10.19893292642405,3154,,,,,Denmark,56.181459995226994,10.192792014715224,2659,,,,186237,185157,AAR_BT_0199 3154 2659,MAJOR_ROAD,133
825,50,59,COWI,Aarhus,Denmark,56.176038754874654,10.201616660049467,3977,8200,Randersvej,54,,Denmark,56.17235120664372,10.209275766864721,3183,,,,189710,187615,AAR_BT_0235 3977 3183,MAJOR_ROAD,169
850,46,67,COWI,Risskov,Denmark,56.19774431284465,10.228593618385275,4572,8240,Grenåvej,,Risskov,Denmark,56.196878435033454,10.216251775463206,4564,8240,Smedegade,10,229112,193026,AAR_BT_0334 4572 4564,MAJOR_ROAD,255
1600,82,70,COWI,Aarhus,Denmark,56.11919616177176,10.142859364417973,4559,8260,Søren Lofts Vej,4,Hasselager,Denmark,56.11067162844458,10.12228671163939,4562,8361,Møllebakken,15,229433,197652,AAR_BT_0404 4559 4562,MAJOR_ROAD,325
1190,61,70,COWI,Aarhus,Denmark,56.11906158966682,10.143036390212956,4559,8260,Søren Lofts Vej,4,Aarhus,Denmark,56.125743621869944,10.15788067857352,3986,8260,Skanderborgvej,224B,229435,197679,AAR_BT_0405 4559 3986,MAJOR_ROAD,326
1315,68,70,COWI,Højbjerg,Denmark,56.10986429894997,10.162728804893504,4557,8270,Ringvej Syd,,Aarhus,Denmark,56.118198830180894,10.148353690807198,4334,8260,Ringvej Syd,100,229445,197814,AAR_BT_0410 4557 4334,MAJOR_ROAD,331
1250,64,70,COWI,Højbjerg,Denmark,56.10986429894997,10.162728804893504,4557,8270,Ringvej Syd,,Højbjerg,Denmark,56.108951357622736,10.182395559524593,4570,8270,Ringvej Syd,,229447,197842,AAR_BT_0411 4557 4570,MAJOR_ROAD,332
760,46,59,COWI,,Denmark,56.17871060412596,10.184485323907893,2658,,,,Aarhus,Denmark,56.17389164456407,10.182183959489976,3983,8200,Paludan-Müllers Vej,48,186239,185184,AAR_BT_0200 2658 3983,MAJOR_ROAD,134
610,27,81,COWI,Ega,Denmark,56.20496203409241,10.259470361936565,4578,8250,Grenåvej,402,Risskov,Denmark,56.2026461982616,10.25068287483407,4565,8240,Grenåvej,337,192380,190583,AAR_BT_0285 4578 4565,MAJOR_ROAD,218
1095,56,70,COWI,Tilst,Denmark,56.182637286706964,10.113531440475526,4335,8381,Langørvej,36,Aarhus,Denmark,56.17941549701764,10.130153804893553,4342,8210,Viborgvej,322,229138,193376,AAR_BT_0347 4335 4342,MAJOR_ROAD,268
